,Unnamed: 0,name,lat,lon,category,type,geometry,density
146,13,Barfussbar,47.368286,8.542147,Music Venue,"{'typepoint': {'type': 'Point', 'coordinates': [47.368286, 8.542147]}}",POINT (8.542147 47.368286),26
147,14,Kronenhalle Bar,47.367697,8.545756,Cocktail Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.367697, 8.545756]}}",POINT (8.545756 47.367697),22
148,15,Hafenkneipe,47.376287,8.53345,Concert Hall,"{'typepoint': {'type': 'Point', 'coordinates': [47.376287, 8.53345]}}",POINT (8.53345 47.376287),32
149,16,Bar Nocciolina,47.368271,8.53633,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.368271, 8.53633]}}",POINT (8.53633 47.368271),33
150,17,El Lokal,47.374256,8.533523,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.374256, 8.533523]}}",POINT (8.533523 47.374256),39
151,18,Rosaly's Restaurant & Bar,47.367481,8.545752,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.367481, 8.545752]}}",POINT (8.545752 47.367481),20
152,19,Talacker,47.37187,8.534825,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.37187, 8.534825]}}",POINT (8.534825 47.37187),41
153,20,Le Raymond Bar,47.368821,8.537489,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.368821, 8.537489]}}",POINT (8.537489 47.368821),32
154,21,Time,47.377766,8.539411,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.377766, 8.539411]}}",POINT (8.539411 47.377766),32
155,22,Kon-Tiki,47.373775,8.543852,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.373775, 8.543852]}}",POINT (8.543852 47.373775),27
156,23,Atelier Bar,47.37039,8.537618,Cocktail Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.37039, 8.537618]}}",POINT (8.537618 47.37039),41
157,24,Mövenpick Wein-Bar,47.371016,8.537442,Wine Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.371016, 8.537442]}}",POINT (8.537442 47.371016),46
158,25,Tales Bar,47.372937,8.5327,Cocktail Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.372937, 8.5327]}}",POINT (8.5327 47.372937),34
159,26,Onyx Bar,47.366644,8.536161,Hotel Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.366644, 8.536161]}}",POINT (8.536161 47.366644),23
160,27,Aelpli Bar,47.371358,8.543312,Pub,"{'typepoint': {'type': 'Point', 'coordinates': [47.371358, 8.543312]}}",POINT (8.543312 47.371358),28
161,28,Griederbar,47.370469,8.539405,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.370469, 8.539405]}}",POINT (8.539405 47.370469),35
